Identifier, Size, 1B1, 1B2, 1B3, 1B4, 1B5
B4U62_RS06095, 1117.3, , , , , 
B4U62_RS06100, 670.3, , , , , 
B4U62_RS06105, 441.3, , , , , 
B4U62_RS06110, 1527.0, , , , , 
B4U62_RS06115, 488.7, , , , , 
B4U62_RS06120, 712.3, , , , , 
B4U62_RS06125, 475.7, , , , , 
B4U62_RS06130, 733.3, , , , , 
B4U62_RS06135, 506.0, , , , , 
B4U62_RS06140, 347.7, , , , , 
B4U62_RS06145, 447.3, , , , , 
B4U62_RS06150, 247.7, , , , , 
B4U62_RS06155, 1360.3, , , , , 
B4U62_RS06160, 772.7, , , , , 
B4U62_RS06165, 680.7, , , , , 
B4U62_RS06170, 391.0, , , , , 
B4U62_RS06175, 256.0, , , , , 
B4U62_RS06180, 745.7, , , , , 
B4U62_RS06185, 618.7, , , , , 
B4U62_RS06190, 304.3, , , , , 
B4U62_RS06195, 194.0, , , , , 
B4U62_RS06200, 1185.3, , , , , 
B4U62_RS06205, 428.3, , , , , 
B4U62_RS06210, 904.0, , , , , 
B4U62_RS06215, 962.0, , , , , 
B4U62_RS06220, 609.3, , , , , 
B4U62_RS06225, 889.7, , , , , 
B4U62_RS06230, 897.7, , , , , 
B4U62_RS06235, 2390.7, , , , , 
B4U62_RS06240, 733.0, , , , , 
B4U62_RS06245, 226.0, , , , , 
B4U62_RS06250, 256.0, , , , , 
B4U62_RS06255, 688.3, , , , , 
B4U62_RS06260, 531.7, , , , , 
B4U62_RS06265, 843.7, , , , , 
B4U62_RS06270, 167.7, , , , , 
B4U62_RS06275, 292.7, , , , , 
B4U62_RS06280, 786.0, , , , , 
B4U62_RS06285, 978.0, , , , , 
B4U62_RS06290, 693.0, , , , , 
B4U62_RS06295, 871.0, , , , , 
B4U62_RS06300, 760.3, , , , , 
B4U62_RS06305, 1391.3, , , , , 
B4U62_RS06310, 802.7, , , , , 
B4U62_RS06315, 711.0, , , , , 
B4U62_RS06320, 706.3, , , , , 
B4U62_RS06325, 887.7, , , , , 
B4U62_RS06330, 1401.3, , , , , 
B4U62_RS06335, 816.3, , , , , 
B4U62_RS06340, 706.0, , 300:1:0, , , 
B4U62_RS06345, 831.3, , , , , 
B4U62_RS06350, 715.7, , , , , 
B4U62_RS06355, 1025.7, , , , , 
B4U62_RS06360, 571.7, , , , , 
B4U62_RS06365, 410.7, , , , , 
B4U62_RS06370, 622.0, , , , , 
B4U62_RS06375, 499.0, , , , , 
B4U62_RS06380, 907.3, , , , , 
B4U62_RS06385, 1637.3, , , , , 
B4U62_RS06390, 233.3, , , , , 
B4U62_RS06395, 176.0, , , , , 
B4U62_RS06400, 718.0, , , , , 
B4U62_RS06405, 413.7, , , , , 
B4U62_RS06410, 533.3, , , , , 
B4U62_RS06415, 555.0, , , , , 
B4U62_RS06420, 317.3, , , , , 
B4U62_RS06425, 530.3, , , , , 
B4U62_RS06430, 640.0, , , , , 
B4U62_RS06435, 714.7, , , , , 
B4U62_RS06440, 683.0, , , , , 
B4U62_RS06445, 1506.0, , , , 700:1:0.02, 
B4U62_RS06450, 644.0, , , , , 
B4U62_RS06455, 454.3, , , , , 
B4U62_RS06460, 854.0, , , , , 
B4U62_RS06465, 158.0, , , , , 
B4U62_RS06470, 577.7, , , , , 
B4U62_RS06475, 769.3, , , , , 
B4U62_RS06480, 647.3, , , , , 
B4U62_RS06485, 698.7, , , , , 
B4U62_RS06490, 638.7, , , , , 
B4U62_RS06495, 461.3, , , , , 
B4U62_RS06500, 486.3, , , , , 
B4U62_RS06505, 522.7, , , , , 
B4U62_RS06510, 298.7, , , , , 
B4U62_RS06515, 417.3, , , , , 
B4U62_RS06520, 330.3, , , , , 
B4U62_RS06525, 271.7, , , , , 
B4U62_RS06530, 193.3, , , , , 
B4U62_RS06535, 307.7, , , , , 
B4U62_RS06540, 1887.7, , , , , 
B4U62_RS06545, 220.3, , , , , 
B4U62_RS06550, 338.3, , , , , 
B4U62_RS06555, 448.0, , , , , 
B4U62_RS06560, 666.3, , , , , 
B4U62_RS06565, 937.3, , , , , 
B4U62_RS06570, 885.7, , , , , 
B4U62_RS06575, 503.7, , , , , 
B4U62_RS06580, 1046.7, , , , , 
B4U62_RS06585, 145.0, , , , , 
B4U62_RS06595, 1103.7, , , , , 
B4U62_RS06600, 275.3, , , , , 
B4U62_RS06605, 209.3, , , , , 
B4U62_RS06610, 156.0, , , , , 
B4U62_RS06615, 405.0, , , , , 
B4U62_RS06620, 510.3, , , , , 
B4U62_RS06625, 241.7, , , , , 
B4U62_RS06630, 525.3, , , , 700:1:0.00970874, 
B4U62_RS06635, 366.0, , , , , 
B4U62_RS06640, 689.7, , , , , 
B4U62_RS06645, 385.7, , , , , 
B4U62_RS06650, 1642.3, , , , , 
B4U62_RS06660, 849.3, , , , , 
B4U62_RS06665, 488.0, , , , , 
B4U62_RS06670, 507.3, , , , , 
B4U62_RS06675, 414.7, , , , , 
B4U62_RS06680, 473.7, , , , , 
B4U62_RS06685, 256.3, , , , , 
B4U62_RS06690, 366.0, , , , , 
B4U62_RS06695, 257.0, , , , , 
B4U62_RS06700, 899.3, , , , , 
B4U62_RS06705, 279.7, , , , , 
B4U62_RS06710, 1219.3, , , , , 
B4U62_RS06715, 474.3, , , , , 
B4U62_RS06720, 235.0, , , , , 
B4U62_RS06725, 733.3, , , , , 
B4U62_RS06730, 414.0, , , , , 
B4U62_RS06735, 555.7, , , , , 
B4U62_RS06740, 2360.0, , , , , 
B4U62_RS06745, 429.0, , , , , 
B4U62_RS06750, 612.0, , , , , 
B4U62_RS06755, 568.3, , , , , 
B4U62_RS06760, 329.3, , , , , 
B4U62_RS06765, 1033.3, , , , , 
B4U62_RS06770, 951.3, , , , , 
B4U62_RS06775, 249.7, , , , , 
B4U62_RS06780, 692.0, , , , , 
B4U62_RS06785, 602.0, , , 200:3:0.826923, , 
B4U62_RS06790, 689.7, , , , , 
B4U62_RS06795, 883.7, , , , , 
B4U62_RS06800, 416.7, , , , , 
B4U62_RS06805, 430.7, , , , , 
B4U62_RS06810, 931.7, , , , , 
B4U62_RS06815, 1237.3, , , , , 
B4U62_RS06820, 1124.0, , , , , 
B4U62_RS06825, 886.7, , , , , 
B4U62_RS06830, 783.3, , , , , 
B4U62_RS06835, 870.0, , , , , 
B4U62_RS06840, 629.3, , , , , 
B4U62_RS06845, 1002.0, , , , , 
B4U62_RS06850, 870.7, , , , , 
B4U62_RS06860, 1258.7, , , , , 
B4U62_RS06865, 711.3, , , , , 
B4U62_RS06870, 479.0, , , , , 
B4U62_RS06875, 1050.3, 400:1:0.0140845, , , 600:2:0.980392, 
B4U62_RS06880, 1016.3, , , , , 
B4U62_RS06885, 96.3, , , , , 
B4U62_RS06890, 308.7, , , , , 
B4U62_RS06895, 755.0, , , , , 
B4U62_RS06900, 403.0, , , , , 
B4U62_RS06905, 475.0, , , , , 
B4U62_RS06910, 733.0, , , , , 
B4U62_RS06915, 572.7, , , , , 
B4U62_RS06920, 367.3, , , , , 
B4U62_RS06925, 220.7, , , , , 
B4U62_RS06930, 641.3, , , , , 
B4U62_RS06935, 550.3, , , , , 
B4U62_RS06940, 130.0, , , , , 
B4U62_RS06945, 355.3, , , , , 
B4U62_RS06950, 156.3, , , , , 
B4U62_RS06955, 503.0, , , , , 
B4U62_RS06960, 736.3, , , , , 
B4U62_RS06965, 1018.7, , , , , 
B4U62_RS06975, 749.3, , , , , 
B4U62_RS06980, 749.3, , , , , 
B4U62_RS06985, 317.3, , , , , 
B4U62_RS06990, 279.3, , , , , 
B4U62_RS06995, 373.0, , , , , 
B4U62_RS07000, 357.7, , , , , 
B4U62_RS07005, 174.3, , , , , 
B4U62_RS07010, 1066.3, , , , , 
B4U62_RS07015, 346.7, , , , , 
B4U62_RS07020, 444.7, , , , , 
B4U62_RS07025, 147.0, , , , , 
B4U62_RS07030, 3108.3, , , , , 
B4U62_RS07035, 517.0, , , , , 
B4U62_RS07040, 774.7, , , , , 
B4U62_RS07045, 202.3, , , , , 
B4U62_RS07050, 390.7, , , , , 
B4U62_RS07055, 799.3, , , , , 
B4U62_RS07060, 433.3, , , , , 
B4U62_RS07065, 207.0, , , , , 
B4U62_RS07070, 1631.7, , , , , 
B4U62_RS07075, 272.0, , , , , 
B4U62_RS07080, 128.3, , , , , 
B4U62_RS07085, 688.7, , , , , 
B4U62_RS07090, 264.0, , , , , 
B4U62_RS07095, 217.3, , , , , 
B4U62_RS07100, 699.7, , , , , 
B4U62_RS07105, 135.3, , , , , 
B4U62_RS07110, 697.3, , , , , 
B4U62_RS07115, 819.7, , , , , 
B4U62_RS07120, 603.0, , , , , 
B4U62_RS07125, 1160.7, , , , , 
B4U62_RS07130, 834.3, , , , , 
B4U62_RS07135, 1652.7, , , , , 
B4U62_RS07140, 775.7, , , , , 
B4U62_RS07145, 1167.3, , , , , 
B4U62_RS07150, 695.3, , , , , 
B4U62_RS07155, 739.3, , , , , 
B4U62_RS07160, 721.7, , , , , 
B4U62_RS07165, 739.0, , , , , 
B4U62_RS07170, 775.3, , , , , 
B4U62_RS07175, 1315.3, , , , , 
B4U62_RS07180, 823.3, , , , , 
B4U62_RS07185, 844.7, , , , , 
B4U62_RS07190, 691.7, , , , , 
B4U62_RS07195, 775.3, , , , , 
B4U62_RS07200, 924.7, , , , , 
B4U62_RS07205, 786.0, , , , , 
B4U62_RS07210, 462.0, , , , , 
B4U62_RS07215, 1043.0, , , , , 
B4U62_RS07220, 274.0, , , , , 
B4U62_RS07225, 607.7, , , , , 
B4U62_RS07230, 510.3, , , , , 
B4U62_RS07235, 403.0, , , , , 
B4U62_RS07240, 357.3, , , , , 
B4U62_RS07245, 244.7, , , , , 
B4U62_RS07250, 775.0, , , , , 
B4U62_RS07255, 949.7, , , , 700:1:0, 
B4U62_RS07260, 973.0, , , , , 
B4U62_RS07265, 423.0, , , , , 
B4U62_RS07270, 455.7, , , , , 
B4U62_RS07275, 360.7, , , , , 
B4U62_RS07280, 159.3, , , , , 
B4U62_RS07285, 475.3, , , , , 
B4U62_RS07290, 1926.0, 600:1:0.0275229, , , , 
B4U62_RS07295, 865.0, , , , , 
B4U62_RS07300, 759.7, , , , , 
B4U62_RS07305, 605.7, , , , , 
B4U62_RS07310, 1278.7, 400:1:0, , , , 
B4U62_RS07315, 476.3, , , , , 
B4U62_RS07320, 568.3, , , , , 
B4U62_RS07325, 527.3, , , , , 
B4U62_RS07330, 1057.0, , , , , 
B4U62_RS07335, 525.7, , , , , 
B4U62_RS07340, 499.7, , , , , 
B4U62_RS07345, 194.3, , , , , 
B4U62_RS07350, 241.7, , , , , 
B4U62_RS07355, 1151.3, , , , , 
B4U62_RS07360, 360.3, , , , , 
B4U62_RS07365, 218.0, , , , , 
B4U62_RS07370, 235.0, , , , , 
B4U62_RS07375, 464.7, , , , , 
B4U62_RS07380, 975.0, , , , 500:1:0.0742857, 
B4U62_RS07385, 438.7, , , , , 
B4U62_RS07390, 756.7, , , , , 
B4U62_RS07395, 1419.0, , , , , 
B4U62_RS07400, 808.0, , , , , 
B4U62_RS07405, 1445.3, , , , , 
B4U62_RS07410, 775.3, , , , , 
B4U62_RS07415, 2034.3, , , , , 
B4U62_RS07420, 594.0, , , , , 
B4U62_RS07425, 825.3, , , , , 
B4U62_RS07430, 701.7, , , , , 
B4U62_RS07435, 927.0, , 300:1:0.0384615, , , 
B4U62_RS07440, 259.3, , , , , 
B4U62_RS07445, 667.3, , , , , 
B4U62_RS07450, 750.3, , , , , 
B4U62_RS07455, 1129.3, , , , , 
B4U62_RS07460, 227.7, , , , , 
B4U62_RS07465, 148.0, , , , , 
B4U62_RS07470, 921.3, , , , , 
B4U62_RS07475, 1864.3, , , , , 
B4U62_RS07480, 384.3, , , , , 
B4U62_RS07485, 851.7, , , , , 
B4U62_RS07490, 1042.7, , , , , 
B4U62_RS07495, 714.0, , , , , 
B4U62_RS07500, 929.7, , , , , 
B4U62_RS07505, 1017.0, , , , , 
B4U62_RS07510, 565.0, , , , , 
B4U62_RS07515, 455.3, , , , , 
B4U62_RS07520, 440.0, , , , , 
B4U62_RS07525, 360.3, , , , , 
B4U62_RS07530, 309.3, , , , , 
B4U62_RS07535, 425.7, , , , , 
B4U62_RS07540, 1321.7, , , , , 
B4U62_RS07545, 437.7, , , , , 
B4U62_RS07550, 630.0, , , , , 
B4U62_RS07555, 741.3, , , , , 
B4U62_RS07560, 1797.3, , , , , 
B4U62_RS07565, 895.3, , , , 700:1:0.0245902, 
B4U62_RS07570, 619.7, , , , , 
B4U62_RS07575, 345.3, , , , , 
B4U62_RS07580, 562.0, , , , , 
B4U62_RS07585, 419.0, , , , , 
B4U62_RS07590, 384.0, , , , , 
B4U62_RS07595, 636.7, , , , , 
B4U62_RS07600, 1051.0, , , , , 
B4U62_RS07605, 196.0, , , , , 
B4U62_RS07620, 329.0, , , , , 
B4U62_RS07625, 251.7, , , , , 
B4U62_RS07630, 220.0, , , , , 
B4U62_RS07635, 591.3, , , , , 
B4U62_RS07640, 1130.3, , , , , 
B4U62_RS07645, 444.3, , , , , 
B4U62_RS07650, 1575.0, , , , , 
B4U62_RS07655, 266.0, , , , , 
B4U62_RS07660, 912.0, , , , , 
B4U62_RS07665, 859.0, , , , , 
B4U62_RS07670, 755.3, , , , , 
B4U62_RS07675, 1706.7, , , , , 
B4U62_RS07680, 303.3, , , , , 
B4U62_RS07685, 1330.0, , 300:3:0.863636, , , 
B4U62_RS07690, 281.3, , , , , 
B4U62_RS07695, 887.7, , , , , 
B4U62_RS07700, 643.7, , , , , 
B4U62_RS07705, 1570.3, , , , , 
B4U62_RS07710, 779.3, , , , , 
B4U62_RS07715, 731.0, , , , , 
B4U62_RS07720, 1769.0, , , , , 
B4U62_RS07725, 1537.3, , , , , 
B4U62_RS07730, 1048.0, , , , , 
B4U62_RS07735, 232.3, , , , , 
B4U62_RS07740, 823.7, , , , , 
B4U62_RS07745, 477.3, , , , , 
B4U62_RS07750, 1120.7, , , , , 
B4U62_RS07755, 440.3, , , , , 
B4U62_RS07760, 782.0, , , , , 
B4U62_RS07765, 634.0, , , , , 
B4U62_RS07770, 1466.3, , , , , 
B4U62_RS07775, 479.0, , , , , 
B4U62_RS07780, 532.3, , , , , 
B4U62_RS07785, 1075.3, , , , , 
B4U62_RS07790, 294.0, , , , , 
B4U62_RS07795, 505.7, , , , , 
B4U62_RS07800, 255.3, , , , , 
B4U62_RS07805, 451.7, , , , , 
B4U62_RS07810, 803.3, , , , , 
B4U62_RS07815, 482.7, , , , , 
B4U62_RS07820, 695.3, , , , , 
B4U62_RS07825, 376.0, , , , , 
B4U62_RS07830, 648.3, , , , , 
B4U62_RS07835, 942.7, , , , , 
B4U62_RS07840, 255.7, , , , , 
B4U62_RS07845, 756.3, , , , , 
B4U62_RS07850, 527.0, , , , , 
B4U62_RS07855, 428.0, , , , , 
B4U62_RS07860, 551.7, , , , , 
B4U62_RS07865, 884.7, , , , , 
B4U62_RS07870, 504.7, , , , , 
B4U62_RS07875, 837.7, , , , , 
B4U62_RS07880, 997.7, , , , , 
B4U62_RS07885, 371.3, , , , , 
B4U62_RS07890, 368.0, , , , , 
B4U62_RS07895, 174.3, , , , , 
B4U62_RS07900, 1468.3, , , , , 
B4U62_RS07905, 1411.0, , , , , 
B4U62_RS07910, 627.3, , , , , 
B4U62_RS07915, 889.7, , , , , 
B4U62_RS07920, 533.0, , , , , 
B4U62_RS07925, 911.3, , , , , 
B4U62_RS07930, 688.7, , , , , 
B4U62_RS07935, 691.3, , , , , 
B4U62_RS07940, 1479.3, , , , , 
B4U62_RS07945, 552.3, , , , , 
B4U62_RS07950, 319.7, , , , , 
B4U62_RS07955, 1356.0, , , , , 
B4U62_RS07960, 761.0, , , , , 
B4U62_RS07965, 1090.0, , , , , 
B4U62_RS07970, 209.0, , , , , 
B4U62_RS07975, 918.0, , , , , 
B4U62_RS07980, 320.7, , , , , 
B4U62_RS07985, 1124.7, , , , , 
B4U62_RS07990, 673.3, 600:1:0.021978, , , , 
B4U62_RS07995, 577.0, , , , , 
B4U62_RS08000, 1441.3, , , , , 
B4U62_RS08005, 1329.7, , , , , 
B4U62_RS08010, 271.0, , , , , 
B4U62_RS08015, 708.3, , , , , 
B4U62_RS08020, 550.3, , , 500:3:0.676923, , 
B4U62_RS08025, 219.7, , , , , 
B4U62_RS08030, 645.3, , , , , 
B4U62_RS08035, 973.0, , , , , 
B4U62_RS08040, 750.3, , , , , 
B4U62_RS08045, 1125.3, 400:3:0.376623, , , , 
B4U62_RS08050, 1081.7, , , , , 
B4U62_RS08055, 403.3, , , , , 
B4U62_RS08060, 200.7, , , , , 
B4U62_RS08065, 1303.0, , , , , 
B4U62_RS08070, 298.7, , , , , 
B4U62_RS08075, 612.0, , , , , 
B4U62_RS08080, 254.3, , , , , 
B4U62_RS08085, 723.7, , , , , 
B4U62_RS08090, 368.3, , , , , 
B4U62_RS08095, 845.3, , , , , 
B4U62_RS08100, 1339.7, , , , , 
B4U62_RS08105, 1623.3, , , , , 
B4U62_RS08110, 214.3, , , , , 
B4U62_RS08115, 413.0, , , , , 
B4U62_RS08120, 232.3, , , , , 
B4U62_RS08125, 604.0, , , , , 
B4U62_RS08130, 257.7, , , , , 
B4U62_RS08135, 1435.3, , , , , 
B4U62_RS08140, 293.7, , , , , 
B4U62_RS08145, 249.0, , , , , 
B4U62_RS08150, 599.7, , , , , 
B4U62_RS08155, 1084.7, , , , , 
B4U62_RS08160, 482.0, , , , , 
B4U62_RS08165, 735.0, , , , , 
B4U62_RS08170, 319.0, , , , , 
B4U62_RS08175, 1036.7, , , , , 
B4U62_RS08180, 2763.3, , , , , 
B4U62_RS08185, 846.0, , , , , 
B4U62_RS08190, 805.7, , , , , 
B4U62_RS08195, 940.0, , , , , 
B4U62_RS08200, 1464.7, 600:1:0.08;700:1:0.0571429;800:3:0.0972222;500:1:0.0135135, 600:1:0.030303;800:3:0.135417, 800:3:0.107143;500:3:0.0752688;600:1:0.0537634;600:3:0.144444;600:1:0.0449438;400:1:0.0491803;400:1:0.0169492, 700:1:0.0181818, 
B4U62_RS08205, 482.0, , , , , 
B4U62_RS08210, 263.3, , , , , 
B4U62_RS08215, 725.7, , , , , 
B4U62_RS08220, 383.3, , , , , 
B4U62_RS08225, 386.7, , , , , 
B4U62_RS08230, 905.7, , , , , 
B4U62_RS08235, 422.3, , , , , 
B4U62_RS08240, 210.7, , , , , 
B4U62_RS08245, 456.3, , , , , 
B4U62_RS08250, 274.0, , , , , 
B4U62_RS08255, 529.0, , , , , 
B4U62_RS08260, 383.3, , , , , 
B4U62_RS08265, 1088.3, , , , , 
B4U62_RS08270, 680.7, , , , , 
B4U62_RS08275, 810.3, , , , , 
B4U62_RS08280, 994.0, , , , , 
B4U62_RS08285, 177.0, , , , , 
B4U62_RS08290, 414.7, , , , , 
B4U62_RS08295, 165.3, , , , , 
B4U62_RS08300, 558.0, , , , , 
B4U62_RS08305, 480.0, , , , , 
B4U62_RS08310, 753.7, , , , , 
B4U62_RS08315, 1354.0, , , , , 
B4U62_RS08320, 444.3, , , , , 
B4U62_RS08325, 796.7, , , , , 
B4U62_RS08330, 319.3, , , , , 
B4U62_RS08335, 1687.3, , , , , 
B4U62_RS08340, 1601.0, , , , , 
B4U62_RS08345, 1257.3, , , 400:1:0.0909091, , 
B4U62_RS08350, 842.7, , , , , 
B4U62_RS08355, 1049.3, , , , , 
B4U62_RS08360, 897.3, , , , , 
B4U62_RS08365, 941.7, , , , , 
B4U62_RS08370, 740.7, , , , , 
B4U62_RS08375, 732.0, , , , , 
B4U62_RS08380, 544.0, , , , , 
B4U62_RS08385, 574.3, , , , , 
B4U62_RS08390, 296.3, , , , , 
B4U62_RS08395, 1128.3, , , , , 
B4U62_RS08400, 915.7, , , , , 
B4U62_RS08405, 3435.0, , , , 700:1:0.0508475, 
B4U62_RS08410, 826.0, , , , , 
B4U62_RS08415, 628.7, , , , , 
B4U62_RS08420, 719.7, , , , , 
B4U62_RS08425, 717.0, , , , , 
B4U62_RS08430, 1089.3, , , , , 
B4U62_RS08435, 273.0, , , , , 
B4U62_RS08440, 758.0, , , , , 
B4U62_RS08445, 541.7, , , , , 
B4U62_RS08450, 359.3, , , , , 
B4U62_RS08455, 214.7, , , , , 
B4U62_RS08460, 659.0, , , , , 
B4U62_RS08465, 488.3, , , , , 
B4U62_RS08470, 2271.0, , , , , 
B4U62_RS08475, 392.7, , 300:1:0.0172414, , , 
B4U62_RS08480, 462.7, , , , , 
B4U62_RS08485, 710.7, , , , , 
B4U62_RS08490, 520.7, , , , , 
B4U62_RS08495, 1081.3, , , , , 
B4U62_RS08500, 817.3, , , , , 
B4U62_RS08505, 982.3, , , , , 
B4U62_RS08510, 844.3, , , , , 
B4U62_RS08515, 2464.7, , , , , 
B4U62_RS08520, 591.7, , , , , 
B4U62_RS08525, 717.3, , , , , 
B4U62_RS08530, 527.0, , , , , 
B4U62_RS08535, 487.0, , , , , 
B4U62_RS08540, 655.0, , , , , 
B4U62_RS08545, 807.3, , , , , 
B4U62_RS08550, 944.0, , , , , 
B4U62_RS08555, 479.7, , , , , 
B4U62_RS08560, 700.7, , , , , 
B4U62_RS08565, 610.3, , , , , 
B4U62_RS08570, 364.7, 800:1:0.00735294, , , , 
B4U62_RS08575, 1459.3, , , , , 
B4U62_RS08580, 2059.7, , , , , 
B4U62_RS08585, 771.3, , , , , 
B4U62_RS08590, 283.7, , , , , 
B4U62_RS08595, 487.3, , , , , 
B4U62_RS08600, 165.0, , , , , 
B4U62_RS08605, 1019.7, , , , , 
B4U62_RS08610, 1882.7, , , , , 
B4U62_RS08615, 401.3, , , , , 
B4U62_RS08620, 734.0, , , , , 
B4U62_RS08625, 1033.7, , , , , 
B4U62_RS08630, 856.3, , , , , 
B4U62_RS08635, 605.0, , , , , 
B4U62_RS08640, 1513.7, , , , , 
B4U62_RS08645, 719.7, , , , , 
B4U62_RS08650, 504.0, , , , , 
B4U62_RS08655, 574.7, , , , , 
B4U62_RS08660, 134.3, , , , , 
B4U62_RS08665, 253.0, , , , , 
B4U62_RS08670, 382.0, , , , , 
B4U62_RS08675, 1305.0, , , , , 
B4U62_RS08680, 608.7, , , , , 
B4U62_RS08685, 714.3, , , , , 
B4U62_RS08690, 1577.3, , , , , 
B4U62_RS08695, 541.0, , , , , 
B4U62_RS08700, 779.3, , , , , 
B4U62_RS08705, 750.7, , , , , 
B4U62_RS08710, 564.7, , , , , 
B4U62_RS08715, 267.7, , , , , 
B4U62_RS08720, 692.7, , , , , 
B4U62_RS08725, 2888.0, , , , , 
B4U62_RS08730, 787.0, , , , , 
B4U62_RS08735, 489.0, , , , , 
B4U62_RS08740, 343.3, , , , , 
B4U62_RS08745, 1059.0, , , , , 
B4U62_RS08750, 312.3, , , , , 
B4U62_RS08755, 188.0, , , , , 
B4U62_RS08760, 413.3, , , , , 
B4U62_RS08765, 419.0, , , , , 
B4U62_RS08770, 567.7, , , , , 
B4U62_RS08775, 363.7, , , , , 
B4U62_RS08780, 761.0, , , , , 
B4U62_RS08785, 669.0, , , , , 
B4U62_RS08790, 1369.3, , , , , 
B4U62_RS08795, 219.3, , , , , 
B4U62_RS08800, 998.0, , , , , 
B4U62_RS08805, 719.3, , , , , 
B4U62_RS08810, 749.7, , , , , 
B4U62_RS08815, 1743.0, , , , , 
B4U62_RS08820, 1091.0, , , , , 
B4U62_RS08825, 790.0, , , , , 
B4U62_RS08830, 432.0, , , , , 
B4U62_RS08835, 1115.0, , , , , 
B4U62_RS08840, 646.0, , , , , 
B4U62_RS08845, 411.3, 500:3:0.38961, , , , 
B4U62_RS08850, 353.3, , , , , 
B4U62_RS08855, 264.7, , , , , 
B4U62_RS08860, 1316.0, , , , , 
B4U62_RS08865, 809.0, , , , , 
B4U62_RS08870, 592.7, , , , , 
B4U62_RS08875, 1002.7, , , , , 
B4U62_RS08880, 373.7, , , , , 
B4U62_RS08885, 495.0, , , , , 
B4U62_RS08890, 1165.7, , , , , 
B4U62_RS08895, 334.7, , , , , 
B4U62_RS08900, 629.7, , , , , 
B4U62_RS08905, 209.3, , , , , 
B4U62_RS08910, 328.7, , , , , 
B4U62_RS08915, 815.0, , , , , 
B4U62_RS08920, 873.7, , , , , 
B4U62_RS08925, 314.7, , , , , 
B4U62_RS08930, 536.0, , , , , 
B4U62_RS08935, 515.0, , , , , 
B4U62_RS08940, 218.0, , , , , 
B4U62_RS08945, 612.0, , , , , 
B4U62_RS08950, 844.3, , , , , 
B4U62_RS08955, 1584.0, , , , , 
B4U62_RS08960, 854.7, , , , , 
B4U62_RS08965, 686.7, , , , , 
B4U62_RS08970, 826.3, , , , , 
B4U62_RS08975, 1578.7, , , , , 
B4U62_RS08980, 388.7, , , , , 
B4U62_RS08985, 515.0, , , , , 
B4U62_RS08990, 379.7, , , , , 
B4U62_RS08995, 623.7, , , , , 
B4U62_RS09000, 424.3, , , , , 
B4U62_RS09005, 683.7, , , , , 
B4U62_RS09010, 791.3, , , , , 
B4U62_RS09015, 657.7, , , , , 
B4U62_RS09020, 433.0, , , , , 
B4U62_RS09025, 718.3, , , , , 
B4U62_RS09030, 625.7, , , , , 
B4U62_RS09035, 957.7, , , , , 
B4U62_RS09040, 985.3, , , , , 
B4U62_RS09045, 1353.7, , , , , 
B4U62_RS09050, 3487.7, , , , , 
B4U62_RS09055, 472.3, , , 200:3:0.135922, , 
B4U62_RS09060, 899.7, , , , , 
B4U62_RS09065, 230.3, , , , , 
B4U62_RS09070, 231.7, , , , , 
B4U62_RS09075, 1691.3, , 300:1:0.0212766, , , 
B4U62_RS09080, 212.0, , , , , 
B4U62_RS09085, 289.3, 500:1:0.0375, 400:3:0.0860215, , 400:3:0.151515, 
B4U62_RS09090, 804.3, , , , , 
B4U62_RS09095, 765.3, , , , , 
B4U62_RS09100, 310.0, , , , , 
B4U62_RS09105, 1740.3, , , , , 
B4U62_RS09110, 865.7, , , , , 
B4U62_RS09115, 1007.3, , , , , 
B4U62_RS09120, 279.3, , , , , 
B4U62_RS09125, 785.3, , , , , 
B4U62_RS09130, 467.3, , , , , 
B4U62_RS09135, 912.3, , , , , 
B4U62_RS09140, 1017.7, , , , , 
B4U62_RS09145, 690.3, , , , , 
B4U62_RS09150, 1385.0, , , , , 
B4U62_RS09155, 674.7, , , , , 
B4U62_RS09160, 166.0, , , , , 
B4U62_RS09165, 1933.7, , , , , 
B4U62_RS09170, 669.0, 400:3:0.0609756;400:3:0.0789474;400:3:0.0945946;400:3:0.0617284;400:3:0.0843373;400:3:0.109756;400:3:0.113924, , , , 
B4U62_RS09175, 1036.0, , , , , 
B4U62_RS09180, 1107.3, , , , , 
B4U62_RS09185, 1015.3, , , , , 
B4U62_RS09190, 611.0, , , , , 
B4U62_RS09195, 289.3, , , , , 
B4U62_RS09200, 716.3, , , , , 
B4U62_RS09205, 741.3, , , , , 
B4U62_RS09210, 493.3, , , , , 
B4U62_RS09215, 980.7, , , , , 
B4U62_RS09220, 910.3, , , , , 
B4U62_RS09225, 1029.0, , , , , 
B4U62_RS09230, 1307.7, , , , , 
B4U62_RS09235, 685.0, , , , , 
B4U62_RS09240, 297.7, , , , , 
B4U62_RS09245, 911.0, , , , , 
B4U62_RS09250, 923.3, , , , , 
B4U62_RS09255, 1311.3, , , , , 
B4U62_RS09260, 340.3, , , , , 
B4U62_RS09265, 537.7, , , , , 
B4U62_RS09270, 2116.0, , , , , 
B4U62_RS09275, 1478.0, , , , , 
B4U62_RS09280, 479.0, , , , , 
B4U62_RS09285, 550.7, , , , , 
B4U62_RS09290, 507.3, , , , , 
B4U62_RS09295, 642.0, , , , , 
B4U62_RS09300, 311.0, , , , , 
B4U62_RS09305, 682.3, , , , , 
B4U62_RS09310, 870.3, , , , , 
